,Unnamed: 0,sha,drug,section,doi,title,year,sentence,posssible_hedge,corona_paper,corona_block,Is_Negated,Is_Negated_Orig,Unnamed: 13,annotation_expert_1,Treatment
0,0,0005d253951fedc237715a37db147032eea28912,lamivudine,body,10.1016/j.coviro.2014.08.002,Editorial overview: Antivirals and resistance: Advances and challenges ahead,2014.0,"Although currently available therapies include interferon variants, the approval of lamivudine in 1998 as the first nucleoside analogue effective on HBV infection was a significant advance",,True,True,0,0,0,0.0,therapies
1,1,0005d253951fedc237715a37db147032eea28912,ribavirin,body,10.1016/j.coviro.2014.08.002,Editorial overview: Antivirals and resistance: Advances and challenges ahead,2014.0,"Although a major antiviral agent in the treatment of HCV infection, ribavirin has been used to treat many other viral infections (most notably, viral hemorrhagic fevers) with multiple proposed effects on virus replication and propagation",,True,True,0,0,0,0.0,treat
2,2,0005d253951fedc237715a37db147032eea28912,ribavirin,body,10.1016/j.coviro.2014.08.002,Editorial overview: Antivirals and resistance: Advances and challenges ahead,2014.0,"For many years, the only approved therapies were combinations of interferon and ribavirin",,True,True,0,0,0,0.0,therapies
3,3,0005d253951fedc237715a37db147032eea28912,ribavirin,body,10.1016/j.coviro.2014.08.002,Editorial overview: Antivirals and resistance: Advances and challenges ahead,2014.0,"More recently (in December 2013), the HCV RNA polymerase inhibitor, sofosbuvir, received approval after showing that it could cure HCV infection in at least 90% of the treated patients, if properly combined with ribavirin or other more recently approved directly acting agents.",,True,True,0,0,0,0.0,cure
4,4,0005d253951fedc237715a37db147032eea28912,ribavirin,body,10.1016/j.coviro.2014.08.002,Editorial overview: Antivirals and resistance: Advances and challenges ahead,2014.0,"More recently (in December 2013), the HCV RNA polymerase inhibitor, sofosbuvir, received approval after showing that it could cure HCV infection in at least 90% of the treated patients, if properly combined with ribavirin or other more recently approved directly acting agents.",,True,True,0,0,0,0.0,cure
5,5,0005d253951fedc237715a37db147032eea28912,sofosbuvir,body,10.1016/j.coviro.2014.08.002,Editorial overview: Antivirals and resistance: Advances and challenges ahead,2014.0,"More recently (in December 2013), the HCV RNA polymerase inhibitor, sofosbuvir, received approval after showing that it could cure HCV infection in at least 90% of the treated patients, if properly combined with ribavirin or other more recently approved directly acting agents.",,True,True,0,0,0,0.0,cure
6,6,0005d253951fedc237715a37db147032eea28912,sofosbuvir,body,10.1016/j.coviro.2014.08.002,Editorial overview: Antivirals and resistance: Advances and challenges ahead,2014.0,"More recently (in December 2013), the HCV RNA polymerase inhibitor, sofosbuvir, received approval after showing that it could cure HCV infection in at least 90% of the treated patients, if properly combined with ribavirin or other more recently approved directly acting agents.",,True,True,0,0,0,0.0,cure
7,7,000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,daptomycin,body,10.1016/j.jmii.2013.10.008,Correlation between antimicrobial consumption and incidence of health-care-associated infections due to methicillin-resistant Staphylococcus aureus and vancomycin-resistant enterococci at a university hospital in Taiwan from 2000 to 2010,2015.0,"Tigecycline and daptomycin have been prescribed at the NTUH since 2007 and 2009, respectively",,False,False,0,0,0,0.0,prescribe
8,8,000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,tigecycline,body,10.1016/j.jmii.2013.10.008,Correlation between antimicrobial consumption and incidence of health-care-associated infections due to methicillin-resistant Staphylococcus aureus and vancomycin-resistant enterococci at a university hospital in Taiwan from 2000 to 2010,2015.0,"Tigecycline and daptomycin have been prescribed at the NTUH since 2007 and 2009, respectively",,False,False,0,0,0,0.0,prescribe
9,9,001916486b2012ccc611fe18d4763f9e81517cbb,pyrantel,body,10.1016/b978-012263951-7/50015-6,Chapter 12 Domestic Cats as Laboratory Animals,2002.0,Pyrantel pamoate (8-10 mg/kg PO q3 weeks x 3 treatments) is highly effective against both roundworms and hookworms and is cost-effective and easy to administer,may,True,False,0,0,0,0.0,effective
10,10,001916486b2012ccc611fe18d4763f9e81517cbb,progesterone,body,10.1016/b978-012263951-7/50015-6,Chapter 12 Domestic Cats as Laboratory Animals,2002.0,"Progesterone compounds and androgenic compounds can suppress estrus but are not recommended, because of the wide range of severe side effects associated with their use",may,True,False,1,1,0,1.0,suppress
13,13,0031e47b76374e05a18c266bd1a1140e5eacb54f,pfizerpen,body,10.1371/journal.pone.0230148,The fecal microbiota of healthy donor horses and geriatric recipients undergoing fecal microbial transplantation for the treatment of diarrhea,2020.0,"Horse W was ultimately diagnosed with enterolithiasis and Horse F was treated with broad-spectrum antimicrobials throughout the study period (Penicilin G Potassium 22,000 IU/kg intravenously every 6 hours, Pfizerpen, Pfizer, New York, NY; Enrofloxacin 7.5 mg/kg intravenously every 24 hours, Baytril 100, Bayer, Shawnee KS) beginning 4 hours prior to first sampling and FMT",,True,True,0,0,0,0.0,treated
14,14,00338998429de60726e4fe2dc07afaf65ed6f925,oxytetracycline,body,10.1016/s0737-0806(97)80046-9,Identification of an enzootic diarrhea (â€œShasta river crudâ€) in Northern California as potomac horse fever,1997.0,A blood sample for PCR was obtained prior to oxytetracycline therapy,may,False,False,0,0,0,0.0,therapy
15,15,0036b28fddf7e93da0970303672934ea2f9944e7,clotrimazole,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,A statistical analysis to predict persistence of canine sinonasal aspergillosis at endoscopic follow-up by comparing three different scoring systems: a retrospective study of 47 cases treated with one hour 1% clotrimazole per-endoscopic infusion and undergoing endoscopic follow-up The aim of this study was to investigate three different scoring system for Canine Sinonasal Aspergillosis (CSA) in order to predict whether they can indicate persistence of CSA at endoscopic follow-up.,,False,False,0,0,0,0.0,treated
16,16,0036b28fddf7e93da0970303672934ea2f9944e7,fipronil,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Application of parasiticides was not always recorded; 6/29 dogs (21%) did not receive regular treatment, 7/29 were treated regularly with isoxazoline systemic products (24%), 2/29 with fipronil-based spot-ons (7%) and 2/29 (7%) with collars (one flumethrin-based and one unrecorded brand).",,False,False,1,1,0,0.0,treated
17,17,0036b28fddf7e93da0970303672934ea2f9944e7,trilostane,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Comparison of different monitoring methods in dogs with hypercortisolism treated with trilostane Over the last years, many different studies investigated possible alternative methods with conflicting results",,False,False,0,0,0,0.0,treated
19,19,0036b28fddf7e93da0970303672934ea2f9944e7,itraconazole,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Although itraconazole has previously been the drug of choice to treat DA, our findings show that combination therapy with terbinafine or newer anti-fungal treatment improves survival times",,False,False,0,0,0,0.0,treat
20,20,0036b28fddf7e93da0970303672934ea2f9944e7,itraconazole,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Although itraconazole has previously been the drug of choice to treat DA, our findings show that combination therapy with terbinafine or newer anti-fungal treatment improves survival times",,False,False,0,0,0,0.0,treat
