,sentence,preds,real
21,"(1962) , an ophthalmologist, successfully treated a herpes eye infection with an antineoplastic drug, Idoxuridine",0.0017340898,0
31,(1991) have recently demonstrated by administering testosterone to castrated stallions that the persistence of EAV in chronically infected stallions is mediated either directly or indirectly by testosterone and consequently dependent on the presence of the testes,0.002538603,0
43,(2002) have used a highly neurovirulent recombinant R404BP strain of influenza A (H1N1) virus to test amantadine therapy in mice,0.001942546,0
48,(2004) also evaluated lopinavir/ritonavir treatment compared with historic controls; all patients were also treated with ribavirin and steroids,0.0017334322,0
65,(2012) reported that additive long-acting muscarinic antagonist (LAMA) therapy with tiotropium (known as a cornerstone of COPD treatment) significantly increased the time to the first exacerbation and improved FEV 1.0 in poorly controlled asthmatic patients with standard therapy (ICS and LABA),0.0050458214,0
67,(2014) compared the efficacy of vaginally administered probiotic vaginal tampons with oral metronidazole for the treatment of BV,0.0017704893,0
77,"(63) Recently, a study of a new cephalosporin, ceftaroline, demonstrated the superiority of ceftriaxone over ceftriaxone for the treatment of pneumococcal pneumonia",0.00221304,0
85,"(a) Bed rest, supporting treatment, and monitoring vital signs; (b) Routine laboratory tests for blood and urine, C-reactive protein, serum biochemical indexes, and coagulation function; (c) Antiviral therapies with atomized inhalation of αinterferon and lopinavir or ritonavir in suitable patients; (d) Avoid inappropriate and blind administration of antibiotics, especially broad-spectrum antibiotics",0.017550759,0
136,[1] We hypothesized that a dose of norepinephrine administered in the first 24 hours correlates with the outcome of treatment in patients with severe sepsis and septic shock,0.0017517697,0
155,"[16] [17] [18] [19] When administered to human beings, α-melanocyte-stimulating hormone is a much more potent antipyretic than acetaminophen",0.0019284666,0
188,"[4, 5] In addition, decolonization of N meningitidis with a single dose of ciprofloxacin will be administered at the ports of entry for pilgrims coming from the African meningitis belt",0.0021999634,0
264,• Administer acepromazine (0.02 mg/kg IM q8h) for its vasodilatory properties,0.0016691478,0
469,• Severe cases need to be managed with acetazolamide (2 mg/kg PO q12h) and/or phenytoin (2.8 to 10 mg/kg PO q12h),0.0021348463,0
684,"115 In the wake of consumer demand, pharmaceutical companies have increasingly begun to focus on lucrative life style drugs, such as remedies for impotence (Pfizer's Viagra), baldness (Merck's Propecia), weight reduction (Abbott's Meridia), and facial wrinkles (Allergan's Botox)",0.0031528191,0
872,"161 Many agents have been used to treat BPH including estrogenic compounds (estradiol cypionate, diethylstilbestrol) and synthetic progestins (megestrol acetate, medroxyprogesterone)",0.002407622,0
896,"17 Exposure to various therapeutic agents (antibiotics, acetaminophen, and bronchodilators) during the week before admission appeared to have a ""protective"" association against apnea in unadjusted analyses",0.0021274125,0
953,"187 A group of researchers studied the use of adrenocorticotropic hormone (ACTH) in rabbits to prevent corticosteroid-induced osteonecrosis and found that if ACTH is administered along with depot methylprednisolone acetate (Depo-Medrol), osteonecrosis is reduced",0.0035185432,0
