,Unnamed: 0,drug,title,year,Treatment,Treatment.1,Treatment_multiple_words,Unnamed: 7,sentence,label,annotation_expert_2,Comparison_1_vs_2,annotation_expert_3,annotation_expert_4,Unnamed: 14,BioBERT_Prediction
0,8303,lidocaine,Chapter 7 Gastrointestinal Emergencies,2000.0,,,,,13,,,0,,,,0.030116155743598938
1,8314,furosemide,Chapter 7 Gastrointestinal Emergencies,2000.0,,,,,23,,,0,,,,0.032468583434820175
2,6886,rifampin,Chapter 47 Infections in Pregnancy,2010.0,,,,,192,,,0,,,,0.02875351719558239
3,5462,carbimazole,"Chapter 18 The thin, inappetent cat",2006.0,,,,,-Adverse effects appear to be less common with carbimazole than methimazole and usually occur in the first 3 months of therapy,,,0,,,,0.2518286406993866
4,16448,prednisone,ICU management of severe acute respiratory syndrome,2003.0,,,,,"-Antibiotic therapy -Respiratory fluoroquinolone or macrolide -Ribavirin -400 mg intravenously every 8 h for 3 days, followed by -1200 mg orally every 12 h for 7days -Corticosteroids -Methylprednisolone 40 mg intravenously every 12 h for 3 days followed by prednisone 50 mg orally per day for 7 days.",,,0,,,,0.013012373819947243
5,10345,phenobarbital,"Chapter 36 The cat with seizures, circling and/or changed behavior",2006.0,,,,,"-If phenobarbital is to be started as a maintenance anti-epileptic drug, a loading dose of 15-20 mg/kg (slow IV bolus) may be given to immediately achieve a therapeutic serum concentration of 60-110 μmol/L (15-25 μg/ml)",,,0,,,,0.0030824888963252306
6,6363,creatinine,,,prescribed,", with symptom duration of 72 hours or less ► Is able and willing to comply with all trial requirements ► Participant or legal guardian(s) of a child is willing and able to give informed consent ► Agrees not to take antiviral agents apart from study antiviral agents according to patient randomisation ► Chronic renal failure, for example, known or estimated creatinine glomerular filtration rate <60 mL/min (known=recorded in participant's clinical records) ► Condition or treatment associated with significant impaired immunity (eg, long-term oral steroids, chemotherapy or immune disorder) (known=recorded in participant's clinical records) ► Those who in the opinion of the responsible clinician should be @DISEASE$ immediate antiviral treatment ► Allergic to oseltamivir or any other trial medication ► Scheduled elective surgery or other procedures requiring general anaesthesia during the subsequent 2 weeks ► Participant with life expectancy estimate by a clinician to be less than 6 months ► Patient with severe hepatic impairment ► Responsible clinician considers urgent hospital admission is required ► Any other significant disease or disorder which, in the opinion of the responsible clinician, may either put the participants at risk because of participation in the trial, may influence the result of the trial or may affect the participant's ability to participate in the trial ► Involvement, including completion of any follow-up procedures, in another clinical trial of an investigational medicinal product in the last 90 days ► Previous Antivirals for influenza-Like Illness? An rCt of Clinical and Cost effectiveness in primary CarE trial participation ► Patients unable to be randomised within 72 hours after onset of symptoms ► Requirement for any live viral vaccine in the next 7 days -Optional according to specific country legislation:Pregnant, lactating or breastfeeding women ILI, influenza-like illness.",,"treat, treatment, prescribe, therapy, take, effect",", with symptom duration of 72 hours or less ► Is able and willing to comply with all trial requirements ► Participant or legal guardian(s) of a child is willing and able to give informed consent ► Agrees not to take antiviral agents apart from study antiviral agents according to patient randomisation ► Chronic renal failure, for example, known or estimated creatinine glomerular filtration rate <60 mL/min (known=recorded in participant's clinical records) ► Condition or treatment associated with significant impaired immunity (eg, long-term oral steroids, chemotherapy or immune disorder) (known=recorded in participant's clinical records) ► Those who in the opinion of the responsible clinician should be prescribed immediate antiviral treatment ► Allergic to oseltamivir or any other trial medication ► Scheduled elective surgery or other procedures requiring general anaesthesia during the subsequent 2 weeks ► Participant with life expectancy estimate by a clinician to be less than 6 months ► Patient with severe hepatic impairment ► Responsible clinician considers urgent hospital admission is required ► Any other significant disease or disorder which, in the opinion of the responsible clinician, may either put the participants at risk because of participation in the trial, may influence the result of the trial or may affect the participant's ability to participate in the trial ► Involvement, including completion of any follow-up procedures, in another clinical trial of an investigational medicinal product in the last 90 days ► Previous Antivirals for influenza-Like Illness? An rCt of Clinical and Cost effectiveness in primary CarE trial participation ► Patients unable to be randomised within 72 hours after onset of symptoms ► Requirement for any live viral vaccine in the next 7 days -Optional according to specific country legislation:Pregnant, lactating or breastfeeding women ILI, influenza-like illness.",,,0,,,,0.12807169556617737
7,16956,vancomycin,Daptomycin: A cyclic lipopeptide antimicrobial agent,2004.0,,,,,":,2 Vancomycin has traditionally been used to treat infections caused by oxacillinresistant or methicillin-resistant Staphylococcus aureus (ORSA or MRSA, respectively); strains with reduced susceptibility to vancomycin (minimum concentration to inhibit 90% growth [MICg0], 8 llg/mD, termed vancomycin-intermediate 5 aureus (VISA), z > have appeared since 1996",,,0,,,,0.14191502332687378
8,9933,morphine,Has osteopathy a role to play in treatment of flu?,2010.0,,,,,'Patients who receive morphine preoperatively and OMT postoperatively tend to have less postoperative pain and require less intravenously administered morphine,,,0,,,,0.005027967970818281
9,15644,tacrolimus,Hepatitis E Virus–Associated Meningoencephalitis in a Lung Transplant Recipient Diagnosed by Clinical Metagenomic Sequencing,2017.0,,,,,""" During that hospitalization, she was treated with a variety of abortive migraine medications with only partial response and diagnosed with tacrolimus toxicity (initial tacrolimus level of 36.8 ng/mL; 24.6 ng/mL on discharge) and acute kidney injury",,,0,,,,0.9046627283096313
